work155.jpg,forus29,FORUS/イベントリーフレット@@@【ディレクション・デザイン・編集・スチール撮影】,dtp,fashion
work156.jpg,anto5,ANTON/バナーデザイン@@@【ディレクション・デザイン・WEBデザイン・WEB制作】,web,fashion
work157.jpg,car2,広告チラシ【ディレクション・デザイン・編集・】,dtp,other
work158.jpg,parco20,PARCO/instagram snap@@@【編集・スチール撮影】,photo,fashion
work159.jpg,taizan13,焼肉 泰山/メニュー@@@【ディレクション・デザイン・編集・印刷】,dtp,food
work160.jpg,quroto9,Quroto/フライヤー@@@【【ディレクション・デザイン・編集・印刷】,dtp,salon
work161.jpg,quroto10,Quroto/メニュー表@@@【【ディレクション・デザイン・編集・印刷】,dtp,salon
work162.jpg,forus30,FORUS/ヴィジョン動画@@@【ディレクション・デザイン・編集・ムービー撮影・キャスティング】,movie,fashion
work163.jpg,parco 21,PARCO/キャンペーンサイト撮影@@@【編集・スチール撮影】,photo,fashion
work164.jpg,snap9,fashion snap@@@【編集・スチール撮影】,photo,fashion
work165.jpg,forus30,FORUS/イベントフライヤー@@@【ディレクション・デザイン・編集・スチール撮影・印刷・キャスティング】,dtp,fashion
work166.jpg,parco22,PARCO/飲食店撮影@@@【編集・スチール撮影】,photo,food
work167.jpg,taizan14,焼肉 泰山/メニュー@@@【ディレクション・デザイン・編集・印刷】,dtp,food
work168.jpg,hudousan1,不動産/広告チラシ@@@【ディレクション・デザイン・編集】,dtp,house
work169.jpg,parco23,PARCO/instagram snap@@@【編集・スチール撮影】,photo,fashion
work170.jpg,anto6,ANTON/バナーデザイン@@@【ディレクション・デザイン・WEBデザイン・WEB制作】,web,fashion
work171.jpg,snap10,fashion snap@@@【編集・スチール撮影】,photo,fashion
work172.jpg,forus31,FORUS/ヴィジョン動画@@@【ディレクション・デザイン・編集・ムービー撮影・キャスティング】,movie,fashion
work173.jpg,frameroom,frameroom/フライヤー@@@【ディレクション・デザイン・編集・スチール撮影】,dtp,music
work174.jpg,parco24,PARCO/飲食店撮影@@@【編集・スチール撮影】,photo,food
work175.jpg,car3,広告チラシ@@@【ディレクション・デザイン・編集・】,dtp,other
work176.jpg,seizinshiki,成人式/photo@@@【編集・スチール撮影】,photo,other
work177.jpg,anto7,ANTON/バナーデザイン@@@【ディレクション・デザイン・WEBデザイン・WEB制作】,web,fashion
work178.jpg,quroto11,Quroto/紹介カード@@@【【ディレクション・デザイン・編集・印刷】,dtp,salon
work179.jpg,snap10,fashion snap@@@【編集・スチール撮影】,photo,fashion
work180.jpg,quroto12,Quroto/ロゴ@@@【【ディレクション・デザイン・編集・印刷】,dtp,salon
work181.jpg,quroto13,Quroto/名刺@@@【【ディレクション・デザイン・編集・印刷】,dtp,salon
work182.jpg,anto8,ANTON/バナーデザイン@@@【ディレクション・デザイン・WEBデザイン・WEB制作】,web,fashion
work183.jpg,frameroom1,frameroom/フライヤー@@@【ディレクション・デザイン・編集・スチール撮影】,dtp,music
work184.jpg,forus32,FORUS/ヴィジョン動画@@@【ディレクション・デザイン・編集・ムービー撮影・キャスティング】,movie,fashion
work185.jpg,parco25,PARCO/instagram snap@@@【編集・スチール撮影】,photo,fashion
work186.jpg,snap11,fashion snap@@@【編集・スチール撮影】,photo,fashion
work187.jpg,kurara1,地方紙/フリーペーパー@@@【ディレクション・デザイン・編集】,dtp,
work188.jpg,snap12,fashion snap@@@【編集・スチール撮影】,photo,fashion
work189.jpg,frameroom2,frameroom/イベント@@@【運営・装飾】,event,salon
work190.jpg,snap13,fashion snap@@@【編集・スチール撮影】,photo,fashion
work191.jpg,snap14,fashion snap@@@【編集・スチール撮影】,photo,fashion
work192.jpg,hudousan2,不動産/広告チラシ@@@【ディレクション・デザイン・編集】,dtp,house
